source,id,url,filepath,file-id for wayback,Notes
wayback_2023,110,https://www.zscaler.com/legal/acceptable-use-policy,110-2023.txt,110,
wayback_2023,111,https://smartbear.com/legal/acceptable-use-policy/,111-2023.txt,111,
wayback_2023,114,https://www.thembrsite.com/terms/acceptable-use-policy/,114-2023.txt,114,
crux,1145,https://about.gitlab.com/handbook/people-group/acceptable-use-policy/,1145-current.txt,,
wayback_2023,115,https://www.edgeconnex.com/aup/,115-2023.txt,115,
googlesearch,115,https://www.wwt.com/acceptable-use-policy,115-current.txt,,
wayback_2023,116,https://www.digitalocean.com/legal/acceptable-use-policy,116-2023.txt,116,
googlesearch,116,https://www.360businesslaw.com/acceptable-use-policy/,116-current.txt,,
wayback_2023,117,https://saucelabs.com/doc/acceptable-use-policy,117-2023.txt,117,
wayback_2023,118,https://www.westerndigital.com/legal/acceptable-use-policy,118-2023.txt,118,
wayback_2023,119,https://netnerd.com/acceptable-use-policy/,119-2023.txt,119,
wayback_2023,120,https://www.alchemer.com/acceptable-use-policy/,120-2023.txt,120,
wayback_2023,122,https://softpower30.com/acceptable-use-policy/,122-2023.txt,122,
wayback_2023,123,https://purepeak.com/acceptable-use-policy-aup/,123-2023.txt,123,
wayback_2023,125,https://www.business.com/articles/acceptable-use-policy/,125-2023.txt,125,
wayback_2023,127,https://www.plivo.com/aup/,127-2023.txt,127,
googlesearch,127,https://gloriouslyunready.com/acceptable-use-policy/,127-current.txt,,
wayback_2023,128,https://www.e2open.com/acceptable-use-policy/,128-2023.txt,128,
wayback_2023,129,https://www.webscale.com/acceptable-use-policy/,129-2023.txt,129,
googlesearch,129,https://tomkerridge.com/acceptable-use-policy/,129-current.txt,,
crux,1296,https://www.autotrader.co.zm/acceptable-use-policy,1296-current.txt,,
wayback_2023,13,https://polishedgeek.com/acceptable-use-policy,13-2023.txt,13,
wayback_2023,130,https://www.getflashy.com/acceptable-use-policy,130-2023.txt,130,
wayback_2023,131,https://www.higherlogic.com/legal/acceptable-use-policy/,131-2023.txt,131,
wayback_2023,132,https://www.intercom.com/legal/acceptable-use-policy,132-2023.txt,132,
wayback_2023,133,https://aldohappy.com/acceptable-use-policy,133-2023.txt,133,
wayback_2023,134,https://appfire.com/acceptable-use-policy/,134-2023.txt,134,
wayback_2023,135,https://meetmarigold.com/acceptable-use-policy/,135-2023.txt,135,
crux,1350,https://www.dell.com/learn/us/en/uscorp1/terms-conditions/acceptable-use-policy,1350-current.txt,,
wayback_2023,136,https://www.diligenciagroup.com/policies/acceptable-use-policy,136-2023.txt,136,
wayback_2023,137,https://www.bluejeans.com/legal/acceptable-use-policy,137-2023.txt,137,
wayback_2023,138,https://mapp.com/acceptable-use-policy/,138-2023.txt,138,
wayback_2023,139,https://www.tritondigital.com/acceptable-use-policy,139-2023.txt,139,
wayback_2023,140,https://serversaurus.com.au/acceptable-use-policy/,140-2023.txt,140,
wayback_2023,142,https://www.sumologic.com/acceptable-use-policy/,142-2023.txt,142,
wayback_2023,144,https://www.ipage.com/legal/acceptable-use-policy,144-2023.txt,144,
googlesearch,144,https://www.mywebsitespot.com/aup/,144-current.txt,,
wayback_2023,145,https://www.digicelgroup.com/en/legal/acceptable-use-policy.html,145-2023.txt,145,
wayback_2023,146,https://ministryvenues.com/policies/acceptable-use-policy/,146-2023.txt,146,
googlesearch,146,https://www.greengeeks.com/legal/aup,146-current.txt,,
wayback_2023,148,https://www.infinitelyvirtual.com/acceptable-use-policy/,148-2023.txt,148,
wayback_2023,150,https://www.betterup.com/acceptable-use-policy,150-2023.txt,150,
googlesearch,152,https://tech.rochester.edu/policies/acceptable-use-policy/,152-current.txt,,
wayback_2023,153,https://londonbusinessforum.com/website-acceptable-use-policy/,153-2023.txt,153,
wayback_2023,154,https://woodsford.com/acceptable-use-policy/,154-2023.txt,154,
wayback_2023,155,https://www.formstack.com/legal/website-acceptable-use-policy,155-2023.txt,155,
wayback_2023,156,https://www.animoassociates.com/acceptable-use-policy/,156-2023.txt,156,
wayback_2023,159,https://wpengine.com/legal/aup/,159-2023.txt,159,
wayback_2023,160,https://kapiapartners.com/acceptable-use-policy/,160-2023.txt,160,
wayback_2023,161,https://www.hp.com/us-en/acceptable-use-policy.html,161-2023.txt,161,
wayback_2023,163,https://www.prnewswire.com/news-releases/internet-security-firm-compliance-specialists-distributes-ai-acceptable-use-policy-to-protect-businesses-from-illegal-sharing-and-lawsuits-301830084.html,163-2023.txt,163,
wayback_2023,164,https://www.midco.com/legal/acceptable-use-policy-aup/,164-2023.txt,164,
googlesearch,165,https://disabledpeoplesarchive.com/acceptable-use-policy/,165-current.txt,,
crux,1657,https://slack.com/acceptable-use-policy,1657-current.txt,,
wayback_2023,166,https://launchdarkly.com/policies/aup/,166-2023.txt,166,
wayback_2023,167,https://www.hcafloridaphysicians.com/legal/acceptable-use-policy,167-2023.txt,167,
wayback_2023,168,https://zivaro.com/acceptable-use-policy/,168-2023.txt,168,
wayback_2023,169,https://www.cdnetworks.com/acceptable-use-policy/,169-2023.txt,169,
wayback_2023,170,https://www.consolidated.com/support/terms-policies/internet-terms-policies/internet-acceptable-use-policy,170-2023.txt,170,
crux,1706,https://www.cbssports.com/info/about/tos/aup,1706-current.txt,,
wayback_2023,171,https://www.infoblox.com/company/legal/csp-acceptable-use-policy/,171-2023.txt,171,
crux,1710,https://dev.epicgames.com/en-US/services/terms/aup,1710-current.txt,,
wayback_2023,172,https://www.bdxworld.com/acceptable-use-policy,172-2023.txt,172,
wayback_2023,173,https://www.linode.com/legal-aup/,173-2023.txt,173,
wayback_2023,174,https://www.fusionconnect.com/acceptable-use-policy,174-2023.txt,174,
wayback_2023,176,https://thrivenextgen.com/acceptable-use-policy/,176-2023.txt,176,
googlesearch,178,https://www.precedecapital.com/acceptable-use-policy/,178-current.txt,,
wayback_2023,179,https://www.sparklight.com/legal/acceptable-use-policy,179-2023.txt,179,
wayback_2023,180,https://sycurio.com/acceptable-use-policy,180-2023.txt,180,
googlesearch,180,https://www.contentful.com/legal/acceptable-use-policy/,180-current.txt,,
wayback_2023,181,https://iterable.com/trust/acceptable-use-policy/,181-2023.txt,181,
wayback_2023,183,https://theinvestmentcompanyplc.co.uk/acceptable-use-policy/,183-2023.txt,183,
googlesearch,185,https://hostmatters.com/acceptable-use-policy/,185-current.txt,,
wayback_2023,186,https://www.zenlayer.com/acceptable-use-policy/,186-2023.txt,186,
wayback_2023,187,https://www.namecheap.com/legal/hosting/aup/,187-2023.txt,187,
wayback_2023,188,https://www.beyondtheschoolrun.com/website-acceptable-use-policy/,188-2023.txt,188,
wayback_2023,189,https://www.imperva.com/legal/acceptable-use-policy/,189-2023.txt,189,
crux,1893,https://testbook.com/acceptable-use-policy,1893-current.txt,,
wayback_2023,19,https://celestion.com/website-acceptable-use-policy/,19-2023.txt,19,
wayback_2023,190,https://www.telstra.us.com/en/legal/acceptable-use-policy,190-2023.txt,190,
wayback_2023,191,https://www.wellbeingthroughschool.com/aup,191-2023.txt,191,
wayback_2023,197,https://lightpathfiber.com/acceptable-use-policy,197-2023.txt,197,
googlesearch,197,https://quantrolox.com/acceptable-use-policy/,197-current.txt,,
googlesearch,198,https://modx.com/policy/modx-cloud-aup,198-current.txt,,
wayback_2023,199,https://uk.rs-online.com/web/content/about-rs/articles/acceptable-use-policy,199-2023.txt,199,
googlesearch,199,https://www.decisivegroup.com/legal/acceptable-use-policy/,199-current.txt,,
wayback_2023,2,https://www.sharetru.com/legal/acceptable-use-policy,2-2023.txt,2,
wayback_2023,20,https://ruthbradleyphysio.com/acceptable-use-policy/,20-2023.txt,20,
wayback_2023,200,https://www.invicti.com/legal/aup/,200-2023.txt,200,
wayback_2023,203,https://www.techinsurance.com/resources/acceptable-use-policy,203-2023.txt,203,
wayback_2023,204,https://www.databricks.com/legal/aup,204-2023.txt,204,
wayback_2023,205,https://www.freuds.com/acceptable-use-policy,205-2023.txt,205,
wayback_2023,206,https://identity.digital/policies/acceptable-use-policy/,206-2023.txt,206,
crux,2060,https://explore.zoom.us/en/trust/contactcenter-acceptable-use-policy/,2060-current.txt,,
wayback_2023,207,https://www.everyaction.com/acceptable-use-policy/,207-2023.txt,207,
crux,2111,https://about.realestate.com.au/acceptable-use-policy-residential/,2111-current.txt,,
wayback_2023,22,https://www.tradealgo.com/acceptable-use-policy,22-2023.txt,22,
googlesearch,221,https://www.corporatedisclosures.org/policy/acceptable-use-policy.html,221-current.txt,,
wayback_2023,23,https://assureddigitaltech.com/acceptable-use-policy/,23-2023.txt,23,
wayback_2023,24,https://www.ringcentral.com/legal/acceptable-use-policy.html,24-2023.txt,24,
crux,2510,https://quickbooks.intuit.com/ca/payments/legal-documents/canada-acceptable-use-policy-2017/,2510-current.txt,,
crux,2553,https://cdn.auth0.com/website/legals/files/aup-feb-20.pdf?_ga=2.145244535.270615629.1602600152-1580183395.1598368988,2553-current.txt,,
wayback_2023,26,https://www.bloomreach.com/en/legal/bloomreach-engagement-aup,26-2023.txt,26,
crux,2661,https://wise.com/acceptable-use-policy,2661-current.txt,,
wayback_2023,27,https://www.itrsgroup.com/legal/acceptable-use-policy,27-2023.txt,27,
wayback_2023,29,https://selzy.com/en/eaup/,29-2023.txt,29,
wayback_2023,30,https://www.cox.com/aboutus/policies/business-acceptable-use-policy.html,30-2023.txt,30,
crux,3041,https://www.schools.nyc.gov/about-us/policies/internet-acceptable-use-policy,3041-current.txt,,
crux,3045,https://security-guidance.service.justice.gov.uk/acceptable-use-policy/,3045-current.txt,,
crux,3080,https://www.digitalspy.com/tech/cable/a2368/ntl-clarifies-acceptable-use-policy/,3080-current.txt,,
wayback_2023,31,https://smartaira.com/aup/,31-2023.txt,31,
wayback_2023,33,https://www.synopsys.com/company/legal/software-integrity/acceptable-use-policy.html,33-2023.txt,33,
crux,3352,https://www.shopify.com/legal/aup,3352-current.txt,,
wayback_2023,34,https://www.circle.com/en/legal/acceptable-use-policy,34-2023.txt,34,
wayback_2023,36,https://www.optimizely.com/legal/customer-acceptable-use-policy/,36-2023.txt,36,
wayback_2023,37,https://www.dat.com/acceptable-use-policy,37-2023.txt,37,
wayback_2023,38,https://www.megaport.com/legal/acceptable-use-policy/,38-2023.txt,38,
crux,3839,https://www.dexerto.com/acceptable-use-policy/,3839-current.txt,,
wayback_2023,39,https://tresorit.com/acceptable-use-policy,39-2023.txt,39,
wayback_2023,4,https://www.akamai.com/legal/privacy-and-policies/acceptable-use-policy,4-2023.txt,4,
wayback_2023,40,https://www.brightspeed.com/aboutus/legal/consumer/legal-notices/acceptable-use-policy.html,40-2023.txt,40,
wayback_2023,41,https://www.att.com/legal/terms.aup.html,41-2023.txt,41,
wayback_2023,42,http://gauss.ececs.uc.edu/Courses/c6055/pdf/sophosexampleITacceptableusepolicy.pdf,42-2023.txt,42,
wayback_2023,43,https://athenian.com/transparency/acceptable-use-policy,43-2023.txt,43,
wayback_2023,45,https://www.kyriba.com/acceptable-use-policy/,45-2023.txt,45,
wayback_2023,46,https://www.programframework.com/acceptable-use-policy,46-2023.txt,46,
wayback_2023,47,https://webflow.com/legal/aup,47-2023.txt,47,
wayback_2023,48,https://www.theinstantgroup.com/en-us/acceptable-use-policy/,48-2023.txt,48,
wayback_2023,50,https://www.powerdms.com/policy-learning-center/updating-your-acceptable-use-policy,50-2023.txt,50,
wayback_2023,51,https://www.otava.com/acceptable-use-policy/,51-2023.txt,51,
wayback_2023,52,https://surfinternet.com/wp-content/uploads/sites/10/2022/07/acceptable-use-policy-surf-internet-1.pdf,52-2023.txt,52,
wayback_2023,53,https://www.progress.com/legal/aup,53-2023.txt,53,
wayback_2023,54,https://www.sciris.com/acceptable-use-policy.html,54-2023.txt,54,
crux,5524,https://www.cricketwireless.com/legal-info/acceptable-use-policy.html,5524-current.txt,,
wayback_2023,57,https://mountstreet.com/acceptable-use-policy/,57-2023.txt,57,
wayback_2023,58,https://www.everbridge.com/about/legal/acceptable-use-policy/,58-2023.txt,58,
wayback_2023,6,https://biotechsocialpact.com/acceptable-use-policy/,6-2023.txt,6,
wayback_2023,60,https://www.planisys.net/aup/,60-2023.txt,60,
wayback_2023,61,https://portland-communications.com/acceptable-use-policy/,61-2023.txt,61,
wayback_2023,62,https://www.pagerduty.com/acceptable-use-policy/,62-2023.txt,62,
crux,6215,https://pronto.io/acceptable-use-policy/,6215-current.txt,,
crux,6236,https://zapier.com/legal/acceptable-use-policy,6236-current.txt,,
wayback_2023,64,https://www.inmotionhosting.com/legal/acceptable-use-policy-and-content/,64-2023.txt,64,
wayback_2023,65,https://www.ukg.com/acceptable-use-policy,65-2023.txt,65,
wayback_2023,66,https://www.portt.com/acceptable-use-policy/,66-2023.txt,66,
crux,6688,https://www.virginmedia.com/legal/acceptable-use-policy,6688-current.txt,,
wayback_2023,67,https://thefuneralmarket.com/acceptable-use-policy,67-2023.txt,67,
wayback_2023,68,https://www.pulsarplatform.com/acceptable-use-policy/,68-2023.txt,68,
wayback_2023,70,https://www.spectrum.com/policies/spectrum-business-internet-acceptable-use-policy,70-2023.txt,70,
crux,7081,https://live.dovetailgames.com/legal/acceptable-use-policy,7081-current.txt,,
crux,7094,https://math.stackexchange.com/legal/acceptable-use-policy,7094-current.txt,,
wayback_2023,71,https://opti9tech.com/acceptable-use-policy/,71-2023.txt,71,
wayback_2023,72,https://www.tanium.com/acceptable-use-policy/,72-2023.txt,72,
crux,7287,https://it.rutgers.edu/scarletapps/acceptable-use-policy/,7287-current.txt,,
crux,7289,https://www.vodafone.co.uk/terms-and-conditions/consumer/mobile/pay-as-you-go/acceptable-use-policy/,7289-current.txt,,
wayback_2023,73,https://www.lumen.com/en-us/about/legal/acceptable-use-policy.html,73-2023.txt,73,
crux,7346,https://location.foursquare.com/legal/terms/aup/,7346-current.txt,,
wayback_2023,75,http://www.telus.com/aup,75-2023.txt,75,
wayback_2023,77,https://www.liquidweb.com/about-us/policies/acceptable-use-policy/,77-2023.txt,77,
crux,7705,https://www.matalan.co.uk/corporate/acceptable-use-policy.list,7705-current.txt,,
wayback_2023,78,https://resources.infosecinstitute.com/topic/essentials-acceptable-use-policy/,78-2023.txt,78,
wayback_2023,79,https://www.sailthru.com/archive-acceptable-use-policy/,79-2023.txt,79,
wayback_2023,8,https://www.everylifetechnologies.com/acceptable-use-policy/,8-2023.txt,8,
wayback_2023,81,https://myflashservices.com/ca-en/acceptable-use-policy,81-2023.txt,81,
wayback_2023,82,https://www.hellosign.com/acceptable-use-policy,82-2023.txt,82,
wayback_2023,83,https://www.quanticate.com/acceptable-use-policy,83-2023.txt,83,
wayback_2023,84,https://www.ntt.com/en/about-us/disclosure/aup.html,84-2023.txt,84,
wayback_2023,85,https://www.ghsclassificationcourses.com/home/acceptable-use-policy/,85-2023.txt,85,
crux,8546,https://accessories.three.co.uk/pages/acceptable-use-policy,8546-current.txt,,
crux,8628,https://pandora.tghn.org/acceptable-use-policy/,8628-current.txt,,
crux,8643,https://www.smartsheet.com/legal/acceptable-use-policy,8643-current.txt,201,
wayback_2023,88,https://www.itispivotal.com/post/the-importance-of-an-acceptable-use-policy,88-2023.txt,88,
wayback_2023,89,https://integrisit.com/adopt-an-acceptable-use-policy-help-your-employees-keep-your-network-safe/,89-2023.txt,89,
wayback_2023,9,https://www.eurobeds.com/webiste-acceptable-use-policy,9-2023.txt,9,
wayback_2023,90,https://usinternet.com/acceptable-use-policy/,90-2023.txt,90,
wayback_2023,91,https://www.twilio.com/en-us/legal/aup,91-2023.txt,91,
crux,9139,https://www.squarespace.com/acceptable-use-policy,9139-current.txt,,
wayback_2023,92,https://www.atlassian.com/legal/acceptable-use-policy,92-2023.txt,92,
wayback_2023,93,https://www.graft.com/acceptable-use-policy,93-2023.txt,93,
wayback_2023,97,https://www.csoonline.com/article/3682760/how-acceptable-is-your-acceptable-use-policy.html,97-2023.txt,97,
crux,9864,https://www.topcashback.co.uk/acceptable-use-policy/,9864-current.txt,,
wayback_2023,99,https://enterprise.verizon.com/terms/aup/,99-2023.txt,99,
crux,9999,https://www.nine.ch/en/acceptable-use-policy,9999-current.txt,,
